ID,gonad.id,Location,Species,Date,Day,Month,Year,FL,field Sex,histology Sex,State,Stage,Fish_Weight,Gonad_Weight,phase,mature
1003,ES480,Maunalua,Kole,8/20/13,20,8,2013,14.4,,F,SC,HY1/HY2,102.9,1.5,H,1
1551,ES708,Maunalua,Kole,3/31/14,31,3,2014,12.2,,F,SC,HY2,58.8,0.32,H,1
923,ES386,Maunalua,Kole,6/26/13,26,6,2013,18.2,,F,SC,HY2,169.2,1,H,1
1216,ES2000,Maunalua,Kole,11/3/13,3,11,2013,15.3,,F,RE,PN,117.1,0.01,RE,1
1725,ES540,Maunalua,Kole,9/18/13,18,9,2013,12.7,,F,RE,PN,58,,RG,1
158,MO991,Maunalua,Kole,3/28/13,28,3,2013,15.9,,M,Immature,,122,0.26,,1
1914,ES910,Hanalei,Kole,5/14/13,14,5,2013,15,,M,SC,MATURE,,0.04,,1
2053,ES986,West Maui,Kole,5/31/14,31,5,2014,14,,M,SC,MATURE,80,0.01,MATURE,1
845,KH530,West Hawaii,Kole,5/28/13,28,5,2013,18,,M,SC,Mature,226.8,,,1
475,KH149,Kaupulehu,Kole,5/5/13,5,5,2013,15.2,,M,SC,Mature,109.66,4.13,,1
475,KH149,Kaupulehu,Kole,5/5/13,5,5,2013,15.2,,M,SC,Mature,109.66,4.13,,1
474,KH134,Kaupulehu,Kole,5/5/13,5,5,2013,16,,M,SC,Mature,,1.11,,1
474,KH134,Kaupulehu,Kole,5/5/13,5,5,2013,16,,M,SC,Mature,,1.11,,1
472,KH143,Kaupulehu,Kole,5/5/13,5,5,2013,15.8,,M,SC,Mature,127.06,0.24,,1
472,KH143,Kaupulehu,Kole,5/5/13,5,5,2013,15.8,,M,SC,Mature,127.06,0.24,,1
411,KH254,Kaupulehu,Kole,4/29/13,29,4,2013,14.8,,M,SC,Mature,91.35,0.01,,1
408,KH059,Kaupulehu,Kole,4/29/13,29,4,2013,16.9,,M,SC,Mature,140.71,2.1,,1
407,KH058,Kaupulehu,Kole,4/29/13,29,4,2013,18.2,,M,SC,Mature,179.31,5.4,,1
